Region,Population,school_age_pop,adm2_name,school_count,area_sqkm,schools_per_1000_children,schools_per_km2,child_pop_density,density_gap,year,density_norm,school_fragility_score
Boulkiemde,678729.0,298980.1245,Boulkiemde,1304,4268.39738726,4.361479348172028,0.3055010772642875,70.04505376944844,4.361479348172028,2020,0.5696697437528219,0.43033025624717813
Sanguie,380408.0,167569.724,Sanguie,304,5110.52883833,1.81415937547659,0.059485037579660734,32.789116214978215,1.81415937547659,2020,0.23600798052854696,0.763992019471453
Sissili,333176.0,146764.028,Sissili,91,7104.63506033,0.6200387193058009,0.012808539668436283,20.657504115796627,0.6200387193058009,2020,0.07959559107168827,0.9204044089283118
Ziro,316299.0,139329.7095,Ziro,202,5223.09973737,1.4497880670018408,0.03867435242615404,26.6756746962211,1.4497880670018408,2020,0.18828065355070567,0.8117193464492943
Bazega,266644.0,117456.68199999999,Bazega,896,3718.68967279,7.628279264016125,0.2409450851885049,31.585502511661975,7.628279264016125,2020,0.9975728857629196,0.002427114237080419
Nahouri,253393.0,111619.61649999999,Nahouri,159,3885.04321715,1.4244680327491295,0.04092618565943254,28.73059841580918,1.4244680327491295,2020,0.18496409836163802,0.8150359016383619
Zoundweogo,360235.0,158683.5175,Zoundweogo,26,3982.60777076,0.16384711255778311,0.0065283857955809755,39.844123909224045,0.16384711255778311,2020,0.019841144238456638,0.9801588557615434
Bassitenga,304833.0,134278.93649999998,Bassitenga,156,2682.08862335,1.1617521132801552,0.0581636261538412,50.065063223855006,1.1617521132801552,2020,0.1505521446782736,0.8494478553217264
Ganzourgou,455591.0,200687.8355,Ganzourgou,210,4301.71491885,1.046396026349956,0.04881773989247535,46.652983585823236,1.046396026349956,2020,0.13544217978326475,0.8645578202167352
Kourweogo,173653.0,76494.14649999999,Kourweogo,417,1609.15201597,5.451326248522187,0.2591427011627808,47.53692984928411,5.451326248522187,2020,0.7124237920518895,0.28757620794811045
Gnagna,625902.0,275709.83099999995,Gnagna,63,9248.83679041,0.22850027244667806,0.006811667394252636,29.810216922184196,0.22850027244667806,2020,0.02830976520393472,0.9716902347960653
