Region,year,school_fragility_score,school_count,schools_per_1000_children,school_age_pop
Irepodun,2024,0.4345756961786741,3.0,1.1308486076426518,2652.875
Irewole,2024,1.0,0.0,0.0,1453.7250000000001
Isokan,2024,0.8364877570208069,1.0,0.3270244859583861,3057.875
Iwo,2024,0.0,18.0,5.856563010924117,3073.475
Obokun,2024,1.0,0.0,0.0,2704.2
Odo-Otin,2024,0.8067875532541806,1.0,0.3864248934916388,2587.825
Ola-oluwa,2024,1.0,0.0,0.0,1323.0
Olorunda,2024,1.0,0.0,0.0,1397.15
Oriade,2024,0.7974457914299314,1.0,0.4051084171401372,2468.475
Orolu,2024,1.0,0.0,0.0,2476.95
Osogbo,2024,0.23076183424840624,4.0,1.5384763315031875,2599.9750000000004
Afijio,2024,1.0,0.0,0.0,2392.65
Akinyele,2024,0.0,10.0,3.023408742186378,3307.525
Atiba,2024,0.7834677637633303,2.0,0.4330644724733395,4618.25
Atigbo,2024,0.0,9.0,2.4474478557637394,3677.3
Egbeda,2024,0.5387973885683245,9.0,0.922405222863351,9757.099999999999
Ibadan North,2024,0.0,29.0,4.055419403783427,7150.924999999999
Ibadan North East,2024,1.0,3.0,0.0,0.0
Ibadan North West,2024,1.0,8.0,0.0,0.0
Ibadan South East,2024,0.4935144525650961,5.0,1.0129710948698079,4935.975
Ibadan South West,2024,0.0,9.0,2.04233302509233,4406.725
Ibarapa Central,2024,1.0,0.0,0.0,2309.175
Ibarapa East,2024,1.0,0.0,0.0,2059.875
Ibarapa North,2024,0.0,5.0,3.5537865595792315,1406.95
Ido,2024,0.05225622253023898,4.0,1.895487554939522,2110.275
Irepo,2024,1.0,0.0,0.0,2070.6
Iseyin,2024,0.8057158399875658,2.0,0.38856832002486835,5147.1
Itesiwaju,2024,0.36933054437285173,3.0,1.2613389112542965,2378.425
Iwajowa,2024,0.0,11.0,6.030288494483656,1824.125
Kajola,2024,0.5995621879922048,3.0,0.8008756240155903,3745.9
Lagelu,2024,0.3460633010724562,5.0,1.3078733978550876,3823.0
Ogbomosho North,2024,0.0,22.0,8.953917847803746,2457.025
Ogbomosho South,2024,1.0,1.0,0.0,0.0
Ogo Oluwa,2024,1.0,0.0,0.0,2757.225
Olorunsogo,2024,0.6545649245224361,1.0,0.6908701509551279,1447.45
Oluyole,2024,0.9401276478547737,1.0,0.11974470429045275,8351.1
Ona-Ara,2024,1.0,0.0,0.0,3221.2
Orelope,2024,1.0,0.0,0.0,1961.25
Ori Ire,2024,0.0,41.0,13.913515623011596,2946.775
Oyo East,2024,0.6928039321096691,1.0,0.614392135780662,1627.625
Oyo West,2024,0.6426401743915949,1.0,0.7147196512168101,1399.15
Saki East,2024,0.6341284940728815,1.0,0.7317430118542368,1366.6
Saki West,2024,0.0,11.0,3.047977943723244,3608.95
Surulere,2024,0.25260281071169666,15.0,1.4947943785766067,10034.825
Barikin Ladi,2024,0.0,20.0,5.9815767436296206,3343.6
Bassa,2024,0.14791003634163702,10.0,1.704179927316726,5867.925
Bokkos,2024,0.44569547895375017,4.0,1.1086090420924997,3608.125
Jos East,2024,1.0,0.0,0.0,1526.375
Jos North,2024,0.0,76.0,14.342328741271936,5299.0
Jos South,2024,0.0,21.0,2.683671774162631,7825.099999999999
Kanam,2024,0.0,16.0,5.890582431337899,2716.2
Kanke,2024,0.7026110747635759,1.0,0.5947778504728484,1681.3
Langtang North,2024,0.0,9.0,4.115038178409766,2187.1
Langtang South,2024,1.0,0.0,0.0,1494.4
Mangu,2024,0.0,15.0,2.9037409863040216,5165.75
Mikang,2024,1.0,0.0,0.0,1663.1
Pankshin,2024,0.8403359331965544,1.0,0.3193281336068911,3131.575
Qua'an Pan,2024,0.0,8.0,2.157526395987001,3707.95
Riyom,2024,1.0,0.0,0.0,2653.575
Shendam,2024,1.0,0.0,0.0,4148.75
